Field of Study,Full-time employment 2022 (Male),Full-time employment 2022 (Female),Full-time employment 2023 (Male),Full-time employment 2023 (Female),Overall employment 2022 (Male),Overall employment 2022 (Female),Overall employment 2023 (Male),Overall employment 2023 (Female),Labour force participation rate 2022 (Male),Labour force participation rate 2022 (Female),Labour force participation rate 2023 (Male),Labour force participation rate 2023 (Female)
Science and mathematics,77.2,79.4,78.2,79.5,86.3,89.3,87.0,88.9,92.4,92.4,92.5,92.5
Computing and Information Systems,72.5,79.3,74.2,80.0,83.0,88.9,83.8,89.3,91.9,94.0,92.1,94.5
Engineering,80.5,88.2,82.6,89.6,87.0,90.8,89.1,92.3,93.3,94.8,93.6,95.2
Architecture and built environment,75.6,81.1,76.8,81.5,83.4,85.8,83.9,86.1,90.4,92.0,91.2,92.5
Agriculture and environmental studies,81.3,83.5,80.9,83.7,89.7,91.2,90.1,91.4,88.5,90.1,89.0,90.8
Health services and support,72.9,77.1,74.8,79.0,82.6,84.3,84.3,85.0,90.2,91.1,90.4,91.5
Medicine,92.2,93.8,92.8,95.4,93.1,96.1,94.0,97.0,90.5,91.2,91.1,92.0
Nursing,80.8,84.5,83.2,86.2,88.4,91.2,89.2,92.5,92.6,94.8,92.9,95.4
Pharmacy,95.1,97.2,96.4,98.0,95.4,97.5,96.9,98.2,93.8,94.5,94.2,94.8
Dentistry,85.9,88.0,85.8,88.2,90.9,92.3,91.1,92.8,91.5,93.2,91.9,93.5
Veterinary science,87.2,89.7,88.4,91.5,93.4,94.6,93.5,94.8,92.1,93.5,92.2,93.9
Rehabilitation,94.3,96.4,95.0,96.5,95.5,96.8,96.4,96.7,96.9,97.6,96.4,97.0
Teacher education,84.5,86.3,85.9,86.9,89.9,92.1,90.4,92.6,93.9,94.0,93.8,94.1
Business and management,82.2,84.5,83.0,84.9,89.3,90.6,89.5,90.9,94.8,95.9,95.2,96.0
Humanities,70.0,74.1,71.3,75.1,84.5,86.2,84.9,86.9,89.5,90.5,89.9,91.1
Social work,74.2,79.1,76.3,80.2,85.9,88.0,87.1,88.9,90.1,91.2,90.5,91.8
Psychology,68.9,74.8,69.2,74.9,85.1,87.0,85.6,87.6,88.5,90.0,89.0,90.2
Law and paralegal studies,76.3,83.5,78.2,84.0,82.5,88.3,84.3,88.8,90.2,91.5,91.2,92.0
Creative arts,55.8,59.0,54.0,58.0,78.8,81.6,80.2,82.0,85.4,88.2,85.9,88.6
Communications,65.0,69.9,66.5,70.2,83.2,85.1,83.7,85.6,88.3,90.4,88.9,90.8
Tourism/Hospitality/Sport,60.1,67.5,64.3,69.8,82.5,85.5,83.2,86.1,94.4,96.0,94.8,96.4

